type,events,
PushEvent,"140,739,368",
CreateEvent,"35,483,741",
WatchEvent,"26,101,411","26,101,411"
IssueCommentEvent,"25,056,189","25,056,189"
IssuesEvent,"16,166,541","16,166,541"
PullRequestEvent,"11,208,920","11,208,920"
ForkEvent,"10,037,523","10,037,523"
GistEvent,"4,816,399",
GollumEvent,"4,253,087",
DeleteEvent,"3,680,053",
FollowEvent,"3,435,804","3,435,804"
PullRequestReviewCommentEvent,"3,066,117","3,066,117"
CommitCommentEvent,"2,493,741",
MemberEvent,"1,492,529","1,492,529"
ReleaseEvent,"418,180",
DownloadEvent,"302,247",
PublicEvent,"261,821",
TeamAddEvent,"175,909","175,909"
ForkApplyEvent,"5,628",
,,
Total,"289,195,208","96,740,943"
