repository_language,language_count,repo_url
JavaScript,50905507,1918591
Java,28606876,1294473
Ruby,23644338,1154858
Python,24551447,959107
PHP,20888582,826591
CSS,10613725,642116
C,13070928,452467
C++,13320955,435669
Shell,6564897,316000
C#,6041219,297346
Objective-C,6124070,285077
Perl,2692382,134668
R,1148527,125018
VimL,2090862,99356
Go,2431800,86970
CoffeeScript,2081944,80541
Scala,2236635,65110
Haskell,1092897,45256
Clojure,986912,44250
Lua,1054050,38936
Emacs Lisp,1027974,38172
TeX,706393,37194
Groovy,589482,32391
Puppet,552744,32154
Matlab,452251,25223
Arduino,224203,25019
Swift,291912,23814
Erlang,596525,23221
ActionScript,459120,20518
Visual Basic,167988,14441
TypeScript,455919,13197
Assembly,205953,12679
PowerShell,176087,11669
Processing,105051,11463
D,298133,10305
Rust,560845,10184
ASP,134419,9784
Common Lisp,198172,9641
Dart,230400,8881
XSLT,179658,8622
OCaml,324122,8360
Scheme,155130,8250
Makefile,50698,6056
FORTRAN,138006,5966
Julia,289046,5575
Racket,106250,5171
F#,155243,5097
Logos,79273,5007
Prolog,80299,4926
Elixir,124830,4853
Pascal,74348,4746
Haxe,142134,4745
Verilog,65067,3928
VHDL,72426,3807
ColdFusion,104225,3156
Delphi,72792,2756
Tcl,76663,2521
Apex,39968,2466
SQL,41706,2344
AutoHotkey,46790,2156
IDL,32425,1964
XML,38014,1686
Objective-C++,31280,1648
AppleScript,17808,1617
Vala,63713,1515
M,12308,1493
Standard ML,50248,1488
OpenEdge ABL,32715,1454
LiveScript,39020,1399
DM,138199,1125
HaXe,52409,1115
Cuda,14481,1061
Pure Data,12556,1047
Coq,37590,1028
DOT,23685,970
Smalltalk,42490,961
SuperCollider,15063,933
Kotlin,22309,922
Ada,18919,908
Mathematica,29416,877
Gosu,16393,867
Lasso,23690,842
Max,13591,835
SQF,26961,806
BlitzBasic,21389,792
OpenSCAD,5363,772
XQuery,19413,748
Objective-J,41755,720
AGS Script,12429,711
nesC,25413,644
AutoIt,8492,623
Game Maker Language,13071,604
Elm,9780,587
Awk,6891,587
Eiffel,28765,574
Nimrod,18154,550
Scilab,9702,546
SourcePawn,13036,502
Io,7894,492
Nix,34121,458
Perl6,7642,453
Nemerle,37596,442
PureScript,9619,426
Stata,6736,418
Rebol,4777,415
Xtend,12066,392
Mercury,5107,354
Agda,5708,333
Squirrel,3868,321
LabVIEW,3361,289
NetLogo,4995,264
Oxygene,2493,264
ooc,6320,249
ANTLR,2118,248
GAP,4342,239
UnrealScript,3830,231
XC,4097,227
SystemVerilog,3326,217
Gnuplot,5166,216
Dylan,9919,210
Idris,3153,207
SAS,6747,205
Boo,3328,201
Slash,4996,196
PAWN,3204,195
MoonScript,4410,192
AspectJ,1475,191
DCPU-16 ASM,9720,186
Ceylon,7864,184
VCL,1932,167
CLIPS,2011,165
Augeas,3488,159
Arc,3859,157
Factor,17858,154
xBase,8760,154
COBOL,2613,150
Bison,4703,147
Monkey,1409,140
PigLatin,674,139
Forth,1708,135
Bro,1964,130
Brightscript,3648,127
Inform 7,3756,120
Propeller Spin,4103,106
Nu,1059,100
Opa,1740,98
Parrot,9059,97
Ragel in Ruby Host,850,95
Powershell,2112,90
FLUX,930,90
Turing,1587,88
KRL,8845,85
ABAP,1182,82
Crystal,4119,76
Frege,1507,74
J,757,74
Component Pascal,1204,72
Mirah,1862,68
Ecl,1281,65
REALbasic,1941,64
Pike,2062,62
BitBake,695,62
Hack,775,59
Glyph,455,59
PogoScript,750,58
Hy,937,57
Bluespec,3057,56
Self,1046,53
LSL,1045,53
XProc,1776,52
Fantom,881,50
Alloy,444,49
Xojo,889,48
RobotFramework,493,47
Modelica,390,43
Isabelle,598,42
Zephir,761,41
Red,1590,39
wisp,745,38
eC,455,38
BlitzMax,661,37
ATS,2723,36
Volt,285,34
Pan,1629,33
Clean,486,32
GAMS,356,32
Chapel,1387,31
Fancy,1273,28
Ioke,694,28
GDScript,505,28
LookML,349,26
Logtalk,3430,23
Papyrus,753,23
Grammatical Framework,504,20
EmberScript,219,18
JSONiq,3179,17
IGOR Pro,160,16
Oz,206,15
Thrift,125,14
Rouge,95,13
Harbour,121,11
Dogescript,80,10
Max/MSP,629,9
Cycript,51,8
Shen,106,7
Ox,171,6
LoomScript,148,6
TXL,38,6
APL,28,6
PureBasic,26,6
Zimpl,20,6
Golo,66,5
E,12,5
Cirru,105,4
Omgrofl,33,4
LOLCODE,28,4
Jasmin,23,4
Grace,92,3
Opal,20,3
Nit,18,2
DCPU-16 Assembly,6,2
Moocode,4,2
Cool,3,2
WebIDL,2,1
Cap'n Proto,1,1
