Linux	Operating Systems
    Unix	Operating Systems
    Windows	Operating Systems
Solaris	Operating Systems
    Mac OS X	Operating Systems
    Amazon Web Services j	Infrastructure as a Service
    Rackspace j	Infrastructure as a Service
    Cloud Foundry	Infrastructure as a Service
    Azure	Infrastructure as a Service
google cloud	Infrastructure as a Service
    OpenStack	Operating Systems
CentOS	Operating Systems
Redhat	Operating Systems
Ubuntu	Operating Systems
Debian	Operating Systems
Gentoo	Security
Slackware	Operating Systems
LinuxMint	
	
	
	
	Virtualization Platforms
    VMware	Virtualization Platforms
    KVM	Virtualization Platforms
    Xen	Virtualization Platforms
    VirtualBox	Virtualization Platforms
    Vagrant	
	
	
	Containerization Tools
    LXC	Containerization Tools
    Solaris Containers	Containerization Tools
    Docker	
	
	
	Linux OS Installation
    Kickstart	Linux OS Installation
    Cobbler	Linux OS Installation
    Fai	
	
	
	Configuration Management
    Puppet	Configuration Management
Mcollective	Configuration Management
    Chef	Configuration Management
    Ansible	Configuration Management
    CFEngine j	Configuration Management
    SaltStack	Configuration Management
    RANCID	Configuration Management
    Ubuntu Juju	
	
	
	Test and Build Systems
    Jenkins	Test and Build Systems
    Maven	Test and Build Systems
    Ant	Test and Build Systems
    Gradle	
	
	
	Application Deployment
    Capistrano	
	
	
	Application Servers
    JBoss	Application Servers
    Tomcat	Application Servers
    Jetty	Application Servers
    Glassfish	Application Servers
    Websphere	Application Servers
    Weblogic	
	
	
	Web Servers
    nginx	Web Servers
    Apache	Web Servers
    IIS	
	
	
	Queues, Caches, etc.
    ActiveMQ	Queues, Caches, etc.
    RabbitMQ	Queues, Caches, etc.
    memcache	Queues, Caches, etc.
    varnish	Queues, Caches, etc.
    squid	
	
	
	
	Monitoring, Alerting, and Trending
    New Relic	Monitoring, Alerting, and Trending
    Nagios	Monitoring, Alerting, and Trending
    Icinga	Monitoring, Alerting, and Trending
    Graphite	Monitoring, Alerting, and Trending
    Ganglia	Monitoring, Alerting, and Trending
    Cacti	Monitoring, Alerting, and Trending
    PagerDuty j	Monitoring, Alerting, and Trending
    Sensu	
	
	
	Logging
    PaperTrail	Logging
    Logstash	Logging
    Loggly	Logging
    Splunk	Logging
    SumoLogic	
	
	
	Process Supervisors
    Monit	Process Supervisors
    runit	Process Supervisors
    Supervisor	Process Supervisors
    god	Process Supervisors
    Blue Pill	Process Supervisors
    Upstart	Process Supervisors
    systemd	
	
	
	Security
    Snorby Threat Stack	Security
    Tripwire	Security
    Snort	
	
	
	Miscellaneous Tools
    Multihost SSH Wrapper	Miscellaneous Tools
    Code Climate	Miscellaneous Tools
    iPerf	Miscellaneous Tools
    lldpd	
