date,type,evt
01/02/2011,PushEvent,349062
01/02/2011,ForkEvent,18506
01/03/2011,PushEvent,688825
01/03/2011,ForkEvent,37500
01/04/2011,PushEvent,686824
01/04/2011,ForkEvent,38914
01/05/2011,PushEvent,747533
01/05/2011,ForkEvent,42257
01/06/2011,PushEvent,731977
01/06/2011,ForkEvent,43770
01/07/2011,PushEvent,787520
01/07/2011,ForkEvent,45841
01/08/2011,PushEvent,837544
01/08/2011,ForkEvent,52628
01/09/2011,PushEvent,923826
01/09/2011,ForkEvent,56549
01/10/2011,PushEvent,1002768
01/10/2011,ForkEvent,59537
01/11/2011,PushEvent,959959
01/11/2011,ForkEvent,57851
01/12/2011,PushEvent,963126
01/12/2011,ForkEvent,58270
01/01/2012,PushEvent,1133208
01/01/2012,ForkEvent,71523
01/02/2012,PushEvent,1226068
01/02/2012,ForkEvent,77767
01/03/2012,PushEvent,1485204
01/03/2012,ForkEvent,102020
01/04/2012,PushEvent,1576322
01/04/2012,ForkEvent,103287
01/05/2012,PushEvent,1637040
01/05/2012,ForkEvent,117467
01/06/2012,PushEvent,1609694
01/06/2012,ForkEvent,122418
01/07/2012,PushEvent,1724433
01/07/2012,ForkEvent,124043
01/08/2012,PushEvent,1881276
01/08/2012,ForkEvent,137161
01/09/2012,PushEvent,1820382
01/09/2012,ForkEvent,133553
01/10/2012,PushEvent,2163078
01/10/2012,ForkEvent,156895
01/11/2012,PushEvent,2255697
01/11/2012,ForkEvent,160845
01/12/2012,PushEvent,2124895
01/12/2012,ForkEvent,162108
01/01/2013,PushEvent,2672756
01/01/2013,ForkEvent,207758
01/02/2013,PushEvent,2622272
01/02/2013,ForkEvent,191878
01/03/2013,PushEvent,3137972
01/03/2013,ForkEvent,237860
01/04/2013,PushEvent,3261804
01/04/2013,ForkEvent,235074
01/05/2013,PushEvent,3312393
01/05/2013,ForkEvent,229008
01/06/2013,PushEvent,3108676
01/06/2013,ForkEvent,228554
01/07/2013,PushEvent,3456097
01/07/2013,ForkEvent,291085
01/08/2013,PushEvent,3449815
01/08/2013,ForkEvent,293820
01/09/2013,PushEvent,3519001
01/09/2013,ForkEvent,270716
01/10/2013,PushEvent,4154216
01/10/2013,ForkEvent,293589
01/11/2013,PushEvent,4187459
01/11/2013,ForkEvent,299441
01/12/2013,PushEvent,3914885
01/12/2013,ForkEvent,278135
01/01/2014,PushEvent,4552320
01/01/2014,ForkEvent,323025
01/02/2014,PushEvent,4637139
01/02/2014,ForkEvent,317378
01/03/2014,PushEvent,5264332
01/03/2014,ForkEvent,368989
01/04/2014,PushEvent,5379450
01/04/2014,ForkEvent,372227
01/05/2014,PushEvent,5555830
01/05/2014,ForkEvent,389310
01/06/2014,PushEvent,5190740
01/06/2014,ForkEvent,382260
01/07/2014,PushEvent,5525139
01/07/2014,ForkEvent,401093
01/08/2014,PushEvent,5556437
01/08/2014,ForkEvent,372063
01/09/2014,PushEvent,5953436
01/09/2014,ForkEvent,388758
01/10/2014,PushEvent,6781512
01/10/2014,ForkEvent,427372
01/11/2014,PushEvent,6695493
01/11/2014,ForkEvent,426551
01/12/2014,PushEvent,6326109
01/12/2014,ForkEvent,404970
01/01/2015,PushEvent,7147805
01/01/2015,ForkEvent,498400
01/02/2015,PushEvent,7242991
01/02/2015,ForkEvent,479851
01/03/2015,PushEvent,8616379
01/03/2015,ForkEvent,573468
01/04/2015,PushEvent,8510372
01/04/2015,ForkEvent,562565
01/05/2015,PushEvent,8499156
01/05/2015,ForkEvent,555417
01/06/2015,PushEvent,8208846
01/06/2015,ForkEvent,557207
01/07/2015,PushEvent,8358856
01/07/2015,ForkEvent,594309
01/08/2015,PushEvent,8198502
01/08/2015,ForkEvent,591587
01/09/2015,PushEvent,9246149
01/09/2015,ForkEvent,644603
01/10/2015,PushEvent,9972903
01/10/2015,ForkEvent,665706
01/11/2015,PushEvent,10314053
01/11/2015,ForkEvent,675492
01/12/2015,PushEvent,10215917
01/12/2015,ForkEvent,632926
01/01/2016,PushEvent,205839
01/01/2016,ForkEvent,10282
